Comando,NomeCat,IDProduto,CodProd,NomeProd,Peso,Descricao,DescrLonga,DescrURL,URLTarget,Estoque,EstoqueMinimo,Disponivel,ICMS,Custo,Preco,PrecoProm,PrecoB2B,PrecoB2BProm,DataPromInicio,DataPromFim,Lancamento,EmDestaque,ImagemProd,ImagemDet,ImagemAmp,Adicional1,Adicional2,Adicional3,AdicionalD1,AdicionalD2,AdicionalD3,Cores,OrdemProd,IDProdutoPai,RamoProd,MaisProd,DataVencimento,DiasAvisoVencimento,DiasReposicao,IDParceiroProd,DescrHTM,MetaKeywordsProd,MaxParcelasProd,XMLParcelasProd,CodBarrasProd,Embalavel,IsProdutoGrande,LarguraProd,AlturaProd,ProfundidadeProd,CodVideo,ProdMPN,TitleProd,URLProd,VendaConjunta,MetaDescriptionProd,IDsFiltroItem
"A","Acessórios",5373941,"02.43101B","Alimentador Infantil Munchkin",100,"","O alimentador Munchkin ajudará o seu bebê a descobrir o sabor dos alimentos de uma maneira segura, diminuindo o risco de asfixia uma vez que impede que pedaços grandes sejam engolidos por eles.
Ideal para frutas e verduras, pode ser lavada na parte superior da lava-louça. O produto é reutilizável
Indicado para 6m+ 
Livre de bisfenol
","",False,1,0,True,0,0,33,0,0,0,,,False,False,"AlimentadorVerde.jpg","AlimentadorVerde.jpg,AlimentadorVerde1.jpg","AlimentadorVerde.jpg,AlimentadorVerde1.jpg","","","","","","","",0,,,"",,0,0,,"","alimentador,munchkin,chupar,fruta,legumes,mordedor",0,0,"",True,False,0,0,0,"t07mHblZvdI","","","alimentador-infantil-munchkin","","","3852,3870,4292"
"A","Acessórios",5373943,"NB05397","Alimentador Infantil Nuby - Azul",110,"","Esse alimentador é perfeito para a introdução alimentar de novos alimentos e texturas, como frutas e legumes, sem o risco de asfixia. O sistema de travamento e torção, garante a segurança do bebê enquanto desfruta de alimentos integrais.
Uma dica é congelar as frutas picadinhas e colocar dentro do alimentador, vira um mordedor perfeito.
Sua alcinha é pratica e auxilia as mãos zinhas pequenas a segurarem sozinhas.
Acompanha tampa higiênica, assim poderá levar o alimentador na bolsa sem sujeiras.
A limpeza é fácil e o alimentador é reutilizável.
Indicado para bebês de 10m+
Livre de bisfenol
","",False,2,0,True,0,0,33,0,0,0,,,True,False,"AlimentadorAzul.jpg","AlimentadorAzul.jpg,AlimentadorVerme1.jpg","AlimentadorAzul.jpg,AlimentadorVerme1.jpg","","","","","","","",0,,,"",,0,0,,"","alimentador,nuby,chupar,fruta,legumes,mordedor",0,0,"",True,False,0,0,0,"t07mHblZvdI","","","alimentador-infantil-nuby-azul","5373946","","3852,4367,3893,3870,4293"
"A","Acessórios",5373944,"NB05397","Alimentador Infantil Nuby - Laranja",110,"","Esse alimentador é perfeito para a introdução alimentar de novos alimentos e texturas, como frutas e legumes, sem o risco de asfixia. O sistema de travamento e torção, garante a segurança do bebê enquanto desfruta de alimentos integrais.
Uma dica é congelar as frutas picadinhas e colocar dentro do alimentador, vira um mordedor perfeito.
Sua alcinha é pratica e auxilia as mãos zinhas pequenas a segurarem sozinhas.
Acompanha tampa higiênica, assim poderá levar o alimentador na bolsa sem sujeiras.
A limpeza é fácil e o alimentador é reutilizável.
Indicado para bebês de 10m+
Livre de bisfenol
","",False,0,0,False,0,0,33,0,0,0,,,False,False,"AlimentadorLaran.jpg","AlimentadorLaran.jpg,AlimentadorVerme1.jpg","AlimentadorLaran.jpg,AlimentadorVerme1.jpg","","","","","","","",0,,,"",,0,0,,"","alimentador,redinha,nuby,fruta,frutinha,mordedor",0,0,"",True,False,0,0,0,"t07mHblZvdI","","","alimentadorinfantilnubylaranja","","","3852,3870,4293"
"A","Acessórios",5349568,"NPAGRBN","Almofada de Amamentação Ergobaby - Brow Swirl - Ganhe uma Capa adicional Yellow",1200,"","O grande momento chegou, a amamentação, dificuldades virão, más as dores nas costas não precisa ser mais uma delas.

É muito importante que a mãe esteja bem para que essa nova rotina seja prazerosa .

Esta almofada de Amamentação Ergobay tem todo um diferencial.

Com curvas naturais, feita de espuma sólida com contornos únicos que ajuda no correto posicionamento do bebê barriga com barriga na altura certa para evitar que o bebê escorregue ou relaxe o corpo para trás.

Ouvindo as preocupações comuns entre as mães sobre amamentação foi cuidadosamente concebido uma solução.  

Firme e estruturada ergonomicamente, ela mantém o formato ao longo do tempo para um posicionamento duradouro. Com isso a mãe pode relaxar os ombros, amamentar com conforto e curtir seu bebê.Ergonômica da marca Ergobaby, com ela o momento da amamentação será mais prazeroso e confortável para mãe e bebê. 

As principais queixas das novas mamães foi resolvida com essa almofada.

Essa almofada acompanha uma capa extra","",False,2,0,True,0,0,599,0,0,0,,,False,False,"1572.Jpg","1572.Jpg,1582.Jpg","1572.Jpg,1582.Jpg","","","","","","","",0,,,"",,0,0,,"","almofada,alimentacao,amamentacao,amamentar,ergobaby",0,0,"",True,False,0,0,0,"SbDPNKaCmwo","","","almofada-amamentacao-ergobaby-brow","","","3893,3852,3870,3891,3894"
"A","Acessórios",5349571,"S4HUG6MWN","Almofada de Amamentação Ergobaby - Yellow Swirl - Ganhe uma Capa adicional Brown",1200,"","O grande momento chegou, a amamentação, dificuldades virão, más as dores nas costas não precisa ser mais uma delas.

É muito importante que a mãe esteja bem para que essa nova rotina seja prazerosa .

Esta almofada de Amamentação Ergobay tem todo um diferencial.

Com curvas naturais, feita de espuma sólida com contornos únicos que ajuda no correto posicionamento do bebê barriga com barriga na altura certa para evitar que o bebê escorregue ou relaxe o corpo para trás.

Ouvindo as preocupações comuns entre as mães sobre amamentação foi cuidadosamente concebido uma solução.  

Firme e estruturada ergonomicamente, ela mantém o formato ao longo do tempo para um posicionamento duradouro. Com isso a mãe pode relaxar os ombros, amamentar com conforto e curtir seu bebê.Ergonômica da marca Ergobaby, com ela o momento da amamentação será mais prazeroso e confortável para mãe e bebê. 

As principais queixas das novas mamães foi resolvida com essa almofada.
Essa almofada acompanha uma capa extra.
","",False,1,0,True,0,0,599,0,0,0,,,False,False,"1596.Jpg","1596.Jpg,x480-1595.Jpg,f34b758e83.jpg","1596.Jpg,x480-1595.Jpg,f34b758e83.jpg","","","","","","","",0,,,"",,0,0,,"","almofada,ergobaby,amamentacao,amamentar",0,0,"",True,False,0,0,0,"zvFSCN1PqIM","","","almofada-amamentacao-ergobaby-yellow","","","3855,3852,3870,3891,3894"
"A","Acessórios",5349712,"A-05-001","Babador Skip Hop - Coruja",100,"","Chegou o momento de descobrir as papinhas e começar as bagunças, proteja aquela roupinha especial do seu filho com uma babador divertido e colorido.

O babador Skip Hop é  leve, resistente à agua,  possui velcro para o fechamento confortavel abaixo do pescoço e além  disso  possuí uma dobra inteligente feito para viagens ou para guardá-lo quando estiver sujo.

Livre de Bisfenol","",False,1,0,True,0,0,82,59.9,0,0,01/08/2016,31/10/2016,False,False,"9e393e8a42.jpg","9e393e8a42.jpg","9e393e8a42.jpg","","","","","","","",0,,,"",,0,0,,"","babador,coruja,skiphop",0,0,"",True,False,0,0,0,"","","","babador-skip-hop-coruja","5349967","","3852,3870,3874,3895"
"A","Acessórios",5349713,"A05016","Babador Skip Hop - Gato",100,"","Hora do papa chegou e você pode contar com a ajuda desse lindo babador para proteger as roupinhas de seu bebê.
Seu fechamento é com velcro macio
As cores vão atrair os olhinhos dos pequenos.
Esse babador possui uma bolso,depois de usado é só enrolar o babador para dentro do bolso e guardar, sem sujar nada dentro da bolsa.
De limpeza fácil, com pano úmido.","",False,0,0,False,0,0,82,59.9,0,0,01/08/2016,31/10/2016,False,True,"b3e42f746e.jpg","b3e42f746e.jpg","b3e42f746e.jpg","","","","","","","",0,,,"",,0,0,,"","gato,skiphop,babador,rosa,menina,papainha",0,0,"",True,False,0,0,0,"","","","babador-skip-hop-gato","5373757","","3852,3870,3874,3895"
"A","Acessórios",5349714,"A-05-017","Babador Skip Hop - Tubarão",100,"","Chegou o momento de descobrir as papinhas e começar as bagunças, proteja aquela roupinha especial do seu filho com uma babador divertido e colorido.

O babador Skip Hop é  leve, resistente à agua,  possui velcro para o fechamento confortavel abaixo do pescoço e além  disso  possuí uma dobra inteligente feito para viagens ou para guardá-lo quando estiver sujo.

Livre de Bisfenol","",False,1,0,True,0,0,82,55,0,0,26/07/2016,31/10/2016,False,False,"c183422401.jpg","c183422401.jpg","c183422401.jpg","","","","","","","",0,,,"",,0,0,,"","skiphop,babador,tubarao",0,0,"",True,False,0,0,0,"","","","babador-skip-hop-tubarao","5477616","","3852,4510,3870,3874,3895"
"A","Acessórios",5349715,"A05021","Babador Skip Hop - Unicornio",100,"","Hora do papa chegou e você pode contar com a ajuda desse lindo babador para proteger as roupinhas de seu bebê.
Seu fechamento é com velcro macio
As cores vão atrair os olhinhos dos pequenos.
Esse babador possui uma bolso,depois de usado é só enrolar o babador para dentro do bolso e guardar, sem sujar nada dentro da bolsa.
De limpeza fácil, com pano úmido.
Livre de bisfenol","",False,0,0,False,0,0,82,59.9,0,0,01/08/2016,31/10/2016,False,False,"prd_232123.jpg","prd_232123.jpg","prd_232123.jpg","","","","","","","",0,,,"",,0,0,,"","babador,unicornio,skiphop",0,0,"",True,False,0,0,0,"","","","babadorskiphopunicornio","5373759","","3852,3870,3874,3895"
"A","Acessórios",5349716,"A05022","Babador Skip Hop - Vaquinha",100,"","Chegou o momento de descobrir as papinhas e começar as bagunças, proteja aquela roupinha especial do seu filho com uma babador divertido e colorido.

O babador Skip Hop é  leve, resistente à agua,  possui velcro para o fechamento confortavel abaixo do pescoço e além  disso  possuí uma dobra inteligente feito para viagens ou para guardá-lo quando estiver sujo.

Livre de Bisfenol","",False,1,0,True,0,0,82,59.9,0,0,01/08/2016,31/10/2016,False,False,"642922606b.jpg","642922606b.jpg","642922606b.jpg","","","","","","","",0,,,"",,0,0,,"","vaca,vaquinha,skiphop,babador",0,0,"",True,False,0,0,0,"","","","babador-skip-hop-vaquinha","","","3852,3870,3874,3895"
